time,playerXPos,playerZPos,playerAngle,door1Angle,door2Angle,door3Angle,printTimeEntered,printTimeExited,AngleDifference,TimeUntilHit
0,0.051,-3.309,89.1169991230481,5.464151E-05,120.0001,240.0001,enter undefined,exit undefined,30.8830555184586,1.40377525083903
0.35,0,-3.45,90.0000010505524,63.20971,183.2097,303.2097,enter undefined,exit undefined,93.2097043022308,4.23680474101049
0.49,0,-3.45,90.0000010505524,60.20334,180.2033,300.2033,enter undefined,exit undefined,90.2033413871917,4.10015188123599
0.59,0,-3.45,90.0000010505524,57.90054,177.9005,297.9005,enter undefined,exit undefined,87.9005383476409,3.99547901580186
0.69,0,-3.45,90.0000010505524,55.69914,175.6991,295.6992,enter undefined,exit undefined,85.699137590805,3.89541534503659
0.8,0,-3.45,90.0000010505524,53.47836,173.4784,293.4784,enter undefined,exit undefined,83.4783619865569,3.79447099938895
0.9,0,-3.45,90.0000010505524,51.17719,171.1772,291.1772,enter undefined,exit undefined,81.1771916374358,3.68987234715617
1.01,0,-3.45,90.0000010505524,48.87248,168.8725,288.8725,enter undefined,exit undefined,78.872477434555,3.58511261066159
1.11,0,-3.45,90.0000010505524,46.6004,166.6004,286.6004,enter undefined,exit undefined,76.6003979667815,3.48183627121734
1.23,0,-3.45,90.0000010505524,43.95179,163.9518,283.9518,enter undefined,exit undefined,73.9517926201019,3.36144511909554
